participant,position,predicted_team,predicted_group,predicted_qualified,actual_team,actual_group,qualified,points,gd,gf,correct
Gustavo,1,Japan,F,1,Bosnia and Herzegovina,B,1,0,-1,5,FALSE
Gustavo,2,Ecuador,E,1,Sweden,F,1,0,0,6,FALSE
Gustavo,3,South Korea,A,1,Scotland,C,1,0,0,1,FALSE
Gustavo,4,Paraguay,D,1,Croatia,L,1,0,-1,3,FALSE
Gustavo,5,Bosnia and Herzegovina,B,1,Algeria,J,1,0,-2,2,FALSE
Gustavo,6,Senegal,I,1,Paraguay,D,1,0,-2,2,FALSE
Gustavo,7,Algeria,J,1,Cape Verde,H,1,0,0,2,FALSE
Gustavo,8,Saudi Arabia,H,1,Belgium,G,1,0,0,1,FALSE
Gustavo,9,Ghana,L,0,Czechia,A,0,0,-1,2,FALSE
Gustavo,10,Scotland,C,0,Congo DR,K,0,0,-1,1,FALSE
Gustavo,11,Uzbekistan,K,0,Ecuador,E,0,0,-1,0,FALSE
Gustavo,12,Iran,G,0,Senegal,I,0,0,-3,3,FALSE
Pedro,1,United States,D,1,Bosnia and Herzegovina,B,1,0,-1,5,FALSE
Pedro,2,Ivory Coast,E,1,Sweden,F,1,0,0,6,FALSE
Pedro,3,Senegal,I,1,Scotland,C,1,0,0,1,FALSE
Pedro,4,Czechia,A,1,Croatia,L,1,0,-1,3,FALSE
Pedro,5,Tunisia,F,1,Algeria,J,1,0,-2,2,FALSE
Pedro,6,Saudi Arabia,H,1,Paraguay,D,1,0,-2,2,FALSE
Pedro,7,Bosnia and Herzegovina,B,1,Cape Verde,H,1,0,0,2,FALSE
Pedro,8,Ghana,L,1,Belgium,G,1,0,0,1,FALSE
Pedro,9,Algeria,J,0,Czechia,A,0,0,-1,2,FALSE
Pedro,10,Scotland,C,0,Congo DR,K,0,0,-1,1,FALSE
Pedro,11,Iran,G,0,Ecuador,E,0,0,-1,0,FALSE
Pedro,12,Congo DR,K,0,Senegal,I,0,0,-3,3,FALSE
